,timestamp,Unnamed: 0,id,raw_table_id,sample_temp,sample_rh,sample_pres,pm1,pm25,pm10,lat,lon,pm1_model_id,pm25_model_id,pm10_model_id,sn,PMc
37,2021-08-02 13:00:00,9269.5,32545120.716666665,32545535.75,13.541166666666669,89.61816666666671,0.0,7.378026666666668,8.89388,12.672183333333338,,,1654.0,1653.0,1652.0,MOD-PM-00102,1.424820588239704
37,2021-08-02 13:00:00,9269.5,32545096.333333332,32545511.333333332,20.830833333333338,80.04499999999999,0.0,2.886648333333333,5.454486666666666,9.311838333333332,40.77700000000003,-111.94599999999993,1917.0,1918.0,1919.0,MOD-PM-00178,1.7071887608121998
37,2021-08-02 13:00:00,9228.5,32545141.383333333,32545556.383333333,13.327833333333341,82.39216666666668,0.0,5.359754999999999,6.423393333333334,7.551210000000002,35.25900000000001,-120.64400000000018,1905.0,1906.0,1907.0,MOD-PM-00172,1.175579574243728
37,2021-08-02 13:00:00,9226.5,32545157.166666668,32545572.133333333,10.867666666666661,78.68933333333334,0.0,2.8250600000000006,4.562145,10.39567333333333,38.29299999999997,-122.26800000000001,1893.0,1894.0,1895.0,MOD-PM-00164,2.2786810444063765
37,2021-08-02 13:00:00,9266.5,32545053.283333335,32545468.266666666,14.78983333333333,83.50883333333334,0.0,5.922305000000001,6.651453333333332,8.290951666666665,64.84580000000004,-147.72727000000006,1899.0,1900.0,1901.0,MOD-PM-00170,1.246487233867686
37,2021-08-02 13:00:00,9233.5,32545117.05,32545532.033333335,16.71466666666667,59.06233333333333,0.0,1.5961916666666671,2.150748333333334,4.070443333333333,38.32,-122.31000000000016,1929.0,1930.0,1931.0,MOD-PM-00185,1.89257072538318
37,2021-08-02 13:00:00,9267.5,32545075.983333334,32545490.933333334,20.526833333333325,51.76433333333335,0.0,1.663396666666667,2.0041266666666666,3.917531666666666,38.559,-122.5429999999999,1922.0,1921.0,1920.0,MOD-PM-00179,1.9547325684670627
37,2021-08-02 13:00:00,9264.5,32545114.583333332,32545529.583333332,13.418666666666661,74.88316666666667,0.0,2.492361666666667,3.736923333333333,9.67821,38.2852,-122.29201999999991,1898.0,1897.0,1896.0,MOD-PM-00168,2.5898872245171387
37,2021-08-02 13:00:00,8819.5,32545144.05,32545559.066666666,33.06883333333334,15.98633333333333,0.0,2.519628333333331,3.167448333333333,9.905686666666664,33.72000000000002,-116.18999999999986,1916.0,1915.0,1914.0,MOD-PM-00177,3.127339619851731
37,2021-08-02 13:00:00,9233.5,32545117.05,32545532.033333335,16.71466666666667,59.06233333333333,0.0,1.5961916666666671,2.150748333333334,4.070443333333333,38.32,-122.31000000000016,1929.0,1930.0,1931.0,MOD-PM-00185,1.89257072538318
